ID,Data,Produto,Categoria,Quantidade,Preço
87,2023-02-07,Produto E,Categoria 3,33,106.64
88,2023-05-20,Produto A,Categoria 2,22,145.46
89,2023-08-31,Produto B,Categoria 2,40,125.24
90,2023-03-14,Produto C,Categoria 4,29,227.59
91,2023-03-01,Produto D,Categoria 3,23,78.06
92,2023-12-13,Produto D,Categoria 4,17,23.31
93,2023-09-10,Produto C,Categoria 4,19,476.59
94,2023-07-19,Produto E,Categoria 3,37,485.36
95,2023-07-12,Produto D,Categoria 4,22,28.65
97,2023-05-14,Produto A,Categoria 2,24,154.43
98,2023-02-17,Produto B,Categoria 3,28,272.26
99,2023-05-28,Produto B,Categoria 2,27,262.04
100,2023-02-02,Produto B,Categoria 1,30,48.88
101,2023-01-22,Produto E,Categoria 1,17,177.11
102,2023-08-19,Produto E,Categoria 1,39,218.75
103,2023-01-31,Produto D,Categoria 2,10,279.05
104,2023-05-11,Produto A,Categoria 4,47,276.32
105,2023-03-23,Produto D,Categoria 2,42,188.33
106,2023-09-13,Produto C,Categoria 3,39,263.16
107,2023-10-17,Produto C,Categoria 1,30,68.13
108,2023-09-04,Produto D,Categoria 4,34,353.88
109,2023-09-13,Produto C,Categoria 3,5,298.99
110,2023-01-23,Produto B,Categoria 2,9,101.72
111,2023-09-14,Produto C,Categoria 1,2,233.76
112,2023-02-01,Produto D,Categoria 4,26,256.73
113,2023-08-31,Produto A,Categoria 2,24,252.09
114,2023-02-11,Produto C,Categoria 4,47,122.17
115,2023-10-19,Produto B,Categoria 4,3,248.2
117,2023-04-29,Produto B,Categoria 1,15,493.34
118,2023-10-31,Produto E,Categoria 1,44,432.87
119,2023-08-18,Produto C,Categoria 2,17,385.15
120,2023-12-21,Produto C,Categoria 1,36,185.08
121,2023-05-11,Produto B,Categoria 1,41,264.2
122,2023-12-14,Produto D,Categoria 4,31,169.28
123,2023-02-13,Produto E,Categoria 3,43,302.25
124,2023-11-09,Produto B,Categoria 2,28,396.6
125,2023-01-05,Produto B,Categoria 4,13,394.04
126,2023-01-29,Produto D,Categoria 4,30,474.29
127,2023-06-20,Produto E,Categoria 1,21,384.63
128,2023-11-29,Produto A,Categoria 1,15,393.5
130,2023-08-11,Produto B,Categoria 4,6,121.47
131,2023-06-27,Produto D,Categoria 2,50,194.65
132,2023-01-29,Produto D,Categoria 1,10,266.1
133,2023-11-13,Produto B,Categoria 2,43,244.28
134,2023-12-28,Produto E,Categoria 4,48,254.14
135,2023-06-04,Produto C,Categoria 3,14,15.68
136,2023-11-01,Produto D,Categoria 3,40,490.51
137,2023-08-17,Produto D,Categoria 3,21,196.3
138,2023-06-09,Produto D,Categoria 3,40,171.2
139,2023-10-08,Produto D,Categoria 3,22,424.7
140,2023-01-16,Produto B,Categoria 4,26,201.52
141,2023-08-09,Produto C,Categoria 2,3,391.72
142,2023-07-17,Produto D,Categoria 1,12,60.66
143,2023-01-08,Produto C,Categoria 2,33,270.59
144,2023-12-09,Produto C,Categoria 3,31,32.25
145,2023-06-28,Produto D,Categoria 4,7,257.36
146,2023-11-12,Produto C,Categoria 3,31,398.93
147,2023-07-18,Produto C,Categoria 4,50,140.84
148,2023-09-23,Produto A,Categoria 4,37,326.96
149,2023-01-02,Produto B,Categoria 3,21,371.53
150,2023-03-15,Produto D,Categoria 2,42,210.53
151,2023-05-09,Produto B,Categoria 3,48,98.51
152,2023-05-08,Produto B,Categoria 4,46,358.26
153,2023-09-13,Produto E,Categoria 3,12,436.65
154,2023-09-20,Produto A,Categoria 2,30,469.89
155,2023-06-19,Produto B,Categoria 1,2,492.45
156,2023-06-16,Produto E,Categoria 3,42,438.88
157,2023-05-05,Produto C,Categoria 4,1,186.38
158,2023-12-17,Produto C,Categoria 2,15,379.2
160,2023-06-11,Produto B,Categoria 3,18,229.69
161,2023-09-09,Produto D,Categoria 3,27,448.38
162,2023-06-13,Produto C,Categoria 1,16,73.27
163,2023-01-02,Produto D,Categoria 1,39,375.2
164,2023-11-06,Produto B,Categoria 2,11,354.0
165,2023-07-01,Produto B,Categoria 1,43,122.63
166,2023-12-26,Produto D,Categoria 3,36,72.79
167,2023-04-26,Produto C,Categoria 1,17,343.13
168,2023-06-24,Produto B,Categoria 3,41,52.62
169,2023-01-31,Produto E,Categoria 2,45,160.29
170,2023-03-30,Produto B,Categoria 3,35,456.12
172,2023-09-16,Produto E,Categoria 1,12,200.55
173,2023-02-25,Produto E,Categoria 2,9,227.55
174,2023-10-22,Produto C,Categoria 2,27,145.79
176,2023-06-21,Produto A,Categoria 1,7,284.49
177,2023-03-07,Produto E,Categoria 3,36,315.58
178,2023-06-21,Produto A,Categoria 2,2,123.89
179,2023-02-20,Produto C,Categoria 3,25,464.62
180,2023-06-11,Produto A,Categoria 1,21,137.51
181,2023-06-25,Produto B,Categoria 3,39,350.4
182,2023-08-23,Produto A,Categoria 2,16,492.54
183,2023-11-11,Produto C,Categoria 1,2,444.13
184,2023-10-08,Produto D,Categoria 2,1,33.56
185,2023-11-13,Produto C,Categoria 1,30,275.67
186,2023-09-05,Produto E,Categoria 2,33,360.94
187,2023-10-20,Produto C,Categoria 1,4,231.03
188,2023-03-04,Produto E,Categoria 3,3,141.39
189,2023-07-21,Produto E,Categoria 2,28,119.63
190,2023-10-25,Produto C,Categoria 2,48,185.35
191,2023-01-03,Produto C,Categoria 4,33,330.52
192,2023-02-21,Produto C,Categoria 3,30,274.68
193,2023-03-21,Produto D,Categoria 2,9,423.48
194,2023-12-29,Produto E,Categoria 2,32,143.41
195,2023-12-02,Produto D,Categoria 2,23,335.1
196,2023-08-25,Produto A,Categoria 1,44,486.26
197,2023-03-23,Produto D,Categoria 3,37,177.91
198,2023-12-02,Produto E,Categoria 1,18,198.18
199,2023-04-11,Produto B,Categoria 2,20,173.12
200,2023-10-24,Produto D,Categoria 1,33,46.59
